,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
180,Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,356,461790,232629,229161,259707,149568,110139,80840,221332,28769,351,112378,95012,16770,51,15,33,121605,99727,56.239199636198265,101.51334651184104
181,Jharkhand,Pakur,24.57260428082189,87.69691969178076,353,900422,452661,447761,352881,206989,145892,150028,404584,31414,328,410127,322963,75865,356,222,283,234012,170572,39.19062395188034,101.09433380754464
182,Jharkhand,Palamu,24.196925968109337,84.20310842824594,358,1939869,1006302,933567,1024563,621706,402857,380976,713175,68238,2155,1683169,238295,6164,734,284,188,473042,240133,52.81609222066026,107.79108516046519
183,Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,1085244,826189,267360,1142867,350908,22538,1612239,410759,193974,4826,2733,932,743967,398900,65.58912352496506,105.32798897497105
184,Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,287303,195960,206902,490202,34879,591,628044,398243,83208,198,125,245,295690,194512,42.00216067382429,105.02783440489259
185,Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,191991,151492,90232,288645,16865,423,201524,15103,306601,51,114,753,159867,128778,57.28745884605506,100.34751344108477
186,Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,641388,472024,303243,818081,301389,3745,1634229,219991,3433,443,25198,412,511575,306506,58.9184189248113,101.1142553379429
187,Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,385311,303438,84108,459891,214253,3729,890429,92252,5368,389,1045,272,315499,144392,69.50580418458347,105.69194459378393
188,Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,1725548,1326484,649517,2105668,808827,17560,4038331,528412,18418,2037,178310,1086,1372422,733246,63.85457043920061,102.82037920765444
189,Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,813440,608181,406092,1116880,440374,9626,2103633,320834,14014,1029,8044,284,703258,413622,57.96395246667305,101.7532314227638
190,Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,597198,445475,280091,702608,271439,3971,1289709,335184,35438,1145,680,30453,459050,243558,61.21487700346386,104.56742750424857
