,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
276,Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,723388,570528,429536,936370,315332,6065,1825460,187901,3653,1422,12818,13405,570448,365922,63.09132452597981,105.73818430606592
277,Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,542837,461406,281414,665419,239981,2866,1153861,26157,1827,2160,1568,125282,383151,282268,75.93479656440381,100.09092930964833
278,Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,450551,340192,226483,569182,159114,1221,863199,127552,992,643,5278,176679,330903,238279,67.16323592489883,106.17160288660732
279,Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,1629223,1262659,937174,1863571,720791,14297,3457615,560261,7091,3091,27404,143865,1186472,677099,68.36734621506758,108.10867323443631
280,Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,699428,496095,300937,930886,288895,3791,1504641,274221,12542,1629,9619,152540,545030,385856,61.02577479038267,106.74354376918717
281,Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,1559760,1266085,266028,1704054,770005,22269,3379906,286558,15573,1570,154882,29766,1125204,578850,72.90619894060914,104.50129607147625
282,Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,932432,718240,416578,1046857,381722,6217,2006984,367664,2387,935,6387,66535,670018,376839,67.25917571375717,107.79675138181423
283,Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,1959220,1714588,423587,1868560,917626,57964,3492202,390974,34667,20469,24528,668050,1334211,534349,78.94601349071789,105.13004745227774
284,Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,1255222,934203,632395,1493953,488748,7548,2501741,471951,3902,13540,5049,354189,925232,568721,65.13641183211693,106.06038313725274
285,Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,512099,394410,438176,792065,186202,2579,1521618,96182,8467,685,6191,4969,442898,349167,54.99676938897466,102.21377089403465
286,Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,2397538,1947828,730228,2763328,904710,45039,5237009,693052,23946,8912,38212,94783,1746286,1017042,71.15167752354725,107.0232179582312
287,Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,644304,493506,299525,773916,240042,3209,1437623,178925,942,340,4530,28216,473795,300121,68.64300641418554,108.22746567073807
288,Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,666291,491523,317806,822797,272486,3982,1328385,306364,2081,1371,6238,187899,501422,321375,63.058810970727954,105.55901372120518
289,Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,3940210,3231513,414461,4048993,1925019,235018,8090254,673704,134192,27090,127786,340404,2809816,1239177,76.05698045943076,109.29575657841437
290,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,542756,408883,323788,690167,297308,3342,1422986,17332,47653,2117,409,781,429211,260956,63.6980717330306,100.88368253046231
291,Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,1059692,880302,191182,1072969,547206,38570,2239370,227465,17452,7477,12260,121791,753843,319126,73.64642016551515,104.22450585530932
292,Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,619012,580380,153117,714076,367352,7752,1307211,187197,1990,230,3347,113467,407008,307068,74.26258568519364,89.1296659749774
293,Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,1121550,927917,290693,1215104,485126,13212,2440312,239607,9098,1260,87453,38210,800214,414890,72.62094798172878,103.55687149951494
294,Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,1201034,1024660,297241,1354947,562653,14093,2691952,146970,4408,1182,12810,141315,844805,510142,74.09740054152472,101.20188974605784
295,Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,348289,317778,81816,347178,194228,3517,780384,26264,15471,219,1046,24762,229676,117502,78.39301077736623,96.53334690355963
296,Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,1651266,1259410,558334,1898395,595560,15145,3795424,441254,9882,1279,28134,35497,1206933,691462,67.41177593175715,106.60068596452277
297,Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,4591396,3635765,418004,4492767,2231800,256170,8716055,1355630,280700,39149,172052,449617,3363123,1129644,74.38563209099914,112.89699657559954
298,Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,552617,466841,282170,608235,266155,4313,1057096,53854,2696,2147,5663,175417,392316,215919,78.37318396585418,105.69206611753208
299,Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,487703,382214,310195,569792,196022,1875,859949,142672,1707,518,8476,179330,340353,229439,72.66505730228207,107.53114284624638
300,Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,1115980,906594,739718,1355999,446516,6094,2251401,239236,4567,1596,11422,249874,815475,540524,72.9552711275785,104.99725299711693
301,Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,87313,69020,15109,109937,34364,676,175102,18691,4264,56,16,76,62807,47130,65.85242566312411,100.13910316396468
302,Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,51053,39249,8315,76238,18764,184,10810,3086,129049,136,59,400,42615,33623,62.630564148090606,107.14911713575563
303,Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,104013,91922,8282,122655,29894,837,12034,2886,254979,152,87,495,70594,52061,71.4718230996232,102.58418746258951
304,Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,148012,116465,30369,233622,22798,256,43833,1649,426819,140,53,2409,124143,109479,55.19735029677678,106.68521514073115
305,Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,47403,37603,1924,70675,11541,125,2995,589,134760,59,57,425,37237,33438,60.43753688206981,105.99150556531927
306,Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,152617,116687,33106,195319,49507,880,267146,107323,4322,106,24,114,109377,85942,63.79071838699285,99.7738059747401
307,Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,70148,59681,3852,87929,14026,276,7553,1115,174112,108,70,635,46533,41396,70.56000608702269,106.09094982078852
308,Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,102513,89634,19246,126073,24550,288,17272,3359,289708,56,38,1004,72262,53811,60.439359958731366,102.89034679055995
309,Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,287270,290760,40889,326786,135941,5032,144935,14185,543394,2495,303,3111,204303,122483,69.98602773627533,98.9344201092075
310,Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,87371,100156,35766,154180,41677,510,12456,1646,271596,34,45,284,88839,65341,47.46029094663954,98.71554373136054
311,Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,45003,37059,5565,53069,10940,179,7036,1050,132984,27,10,332,32826,20243,57.654530892126964,105.79203053611705
312,Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,193438,165264,39725,255693,51301,1630,122936,106788,389956,209,144,3392,151914,103779,55.76045677617129,101.57521025782434
313,Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,117307,113371,37184,163345,32873,149,6498,1533,366881,58,38,1313,89694,73651,60.15683472373984,102.09174369947192
314,Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,169547,171048,11434,174636,79804,4019,13249,5264,379134,105,76,1570,104643,69993,85.08302336445097,99.12007122996036
315,Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,51440,49362,5823,60342,23948,186,1075,699,123446,9,45,151,34129,26213,80.16382361127678,101.6533829401671
316,Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,34147,31748,5921,36672,14853,367,4000,4426,75210,16,2,108,22733,13939,78.48847596926926,104.58366839681264
317,Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,36444,26417,3153,45566,9283,162,1668,522,63892,52,122,51549,28517,17049,53.31993146385736,105.76664630421502
318,Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,64515,56607,10662,78292,26394,482,5231,1290,127124,74,93,27543,46230,32062,75.03159303218773,105.54388377452666
319,Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,32977,27214,2553,39339,12158,90,2989,1782,69104,13,25,12328,24016,15323,69.69454865453199,107.92565485362096
320,Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,21861,20372,957,19461,7400,168,933,514,54977,11,4,102,12211,7250,74.650899706579,102.19442458899212
321,Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,54476,27598,26878,1284,32397,12315,131,991,335,63444,6,9,60,18261,14136,83.89054006190617,102.38421741569532
322,Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,278037,150142,127895,8990,151350,71413,3303,108900,31212,234239,566,2148,1270,99645,51705,73.39728782955089,108.80678216484674
323,Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,197489,107038,90451,2198,114825,50724,1928,25496,4384,234955,998,80,1519,68140,46685,73.69322506977925,107.7072127234115
324,Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,101092,93530,159494,83479,76015,9166,100067,40154,537,9840,2057,181847,78,66,442,57084,42983,81.95065306080505,108.08510638297872
325,Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,131753,118507,119626,67432,52194,10836,147654,14398,178,8102,3444,236494,84,314,1256,79425,68229,47.80068728522337,111.17739880344621
326,Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,83743,79675,105893,57926,47967,3159,80277,36182,170,3563,950,158224,31,17,350,41556,38721,64.79885936677722,105.10574207718857
327,Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,101933,94663,117511,63653,53858,3913,98154,24998,155,2979,1052,191864,27,5,572,52931,45223,59.77283362835459,107.67987492473301
328,Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,84505,81838,128208,67385,60823,6438,78412,25268,198,5605,2043,158236,34,8,318,42096,36316,77.07447863751405,103.25887729416652
329,Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,71217,69540,102881,53504,49377,11955,79466,28846,261,2580,772,136995,39,6,286,41178,38288,73.09121393607423,102.41156169111304
330,Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,1185787,1134742,1621232,902359,718873,358214,932707,296834,7370,2197709,94254,6434,237,201,111,684020,248687,69.8647592854905,104.49837936729229
331,Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,760260,746077,1094140,596269,497871,151377,468599,164636,2637,1398543,104202,745,169,111,81,409559,59040,72.635804604149,101.90101021744404
332,Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,1352760,1271710,2011469,1103033,908436,248298,936365,349587,15046,2457729,141263,11985,1026,1180,6276,761876,174489,76.64286503560719,106.3733083800552
333,Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,612593,580218,829910,464093,365817,163636,435533,117172,1810,1185542,4805,727,124,39,366,340552,94981,69.57598479557952,105.57979931680852
334,Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,282882,294935,262537,153663,108874,153199,293933,63112,635,353160,1556,219482,53,66,2180,155907,138026,45.436011747664054,95.91333683693017
335,Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,1779218,1749813,2210050,1262652,947398,565448,1501772,405298,9049,3486059,13315,23975,590,170,174,990027,511745,62.62483950976912,101.68046528400463
336,Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,296690,282815,405879,228092,177787,56809,247707,81433,2498,553587,12783,10462,1441,70,80,172018,75689,70.03891252016807,104.90603397981013
337,Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,787101,789768,802036,484177,317859,436733,751930,91171,1953,1555367,4975,11160,796,1225,175,447290,304640,50.86256372596583,99.66230589236332
338,Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,359945,373165,399786,233900,165886,162932,355349,28736,768,580300,2138,148895,82,47,290,193515,161834,54.53288046814257,96.45733120737475
339,Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,717814,722547,1089265,579970,509295,143864,466890,173107,1628,1386792,50247,1423,169,52,62,386382,80508,75.62444414976524,99.34495610666157
340,Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,1167137,1084536,1749936,957515,792421,116274,792193,349860,35701,2147632,84060,12527,1264,476,475,645880,146313,77.7171463174271,107.61625248032338
341,Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,678809,700838,568090,340843,227247,290626,693406,85766,3988,1294151,8850,68550,518,491,219,384053,309353,41.17647485190052,96.85676290383797
342,Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,303624,309568,244706,147001,97705,106353,310666,24604,448,600219,1871,10039,213,195,43,170495,140171,39.906913332202635,98.07990489973125
343,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,1256213,1263525,1369397,794171,575226,568755,1223534,140189,2950,2113079,33706,15008,661,109,162,697782,525752,54.34680113567363,99.42130151757979
344,Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,502636,460153,688362,392333,296029,120129,343633,124984,1163,955754,5278,383,107,24,33,284591,59042,71.49666230087797,109.23236401805487
345,Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,301962,308420,299383,180903,118480,149834,305438,43976,757,601092,4952,1778,724,905,76,168155,137283,49.048464731921975,97.90610206860775
346,Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,865380,833350,1291939,704857,587082,163942,621676,201605,3416,1644905,46094,4239,193,94,243,498461,123215,76.05322799974098,103.84352312953742
347,Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,471960,495951,407735,241959,165776,248175,467122,61543,1553,874445,4607,84916,219,123,249,258032,209090,42.125257384201646,95.16262695306594
348,Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,703691,393192,310499,160798,505840,126498,5231,964188,20120,50637,2506,86,310,313161,192679,67.59117048426711,102.46099933491762
349,Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,1342322,750147,592175,253327,873227,223537,12787,1532352,71391,385011,5713,721,710,584687,288540,64.12048702683673,102.79543539121758
350,Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,154916,79903,75013,13077,68301,47880,1868,152638,28835,18391,46,54,63,53139,15162,77.3721169501853,95.50447697069708
351,Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,36470,16610,19860,82,11802,7150,574,27940,12856,958,3,14,21,9093,2709,87.21541993495313,84.43082080007058
352,Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,19919,19355,3324,16760,12859,207,53537,1191,873,3,4,1,14047,2713,70.60367454068242,96.38481906443072
353,Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,932981,751789,121599,917856,461231,29961,690939,12502,54344,1716935,3152,876,735195,182661,67.6436248120977,112.46835140686953
354,Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,488261,356607,128382,549986,255650,11284,380569,16299,2474,984286,1266,246,432988,116998,60.84643776669487,115.16577616343938
355,Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,215767,165518,54058,221555,113549,4348,141363,3125,1227,469789,1109,155,185049,36506,61.745758759400694,112.32099079553153
356,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,238696,187337,21389,214783,113683,5138,152851,16808,1698,427521,178,48,182777,32006,70.98621541147988,114.82882792588987
357,Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,707070,520441,227971,756695,349662,10042,906408,6844,19358,1090815,1143,454,596406,160289,60.49611793359927,111.9276777479876
358,Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,907660,727059,100684,757138,411216,14428,1074332,27667,176587,1002874,580,405,637652,119486,71.12659969899792,111.6892602601441
359,Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,637927,561772,74362,499822,319930,13747,1000743,23089,14968,538208,2034,3476,412506,87316,75.61326715512487,104.04967797028684
360,Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,882581,739956,66664,774472,446200,39082,1394329,30233,26016,718363,4011,11385,639484,134988,73.96719532820627,109.23635440999868
361,Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,316254,260313,42387,284165,161206,9732,336124,10190,5445,453692,553,6662,235562,48603,70.72983728507498,109.63181838053578
362,Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,1428348,1131877,98646,1284822,703624,58589,1502403,77713,16517,1863408,19620,2007,1053600,231222,73.17564985556224,114.52508794100027
363,Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,244037,179523,90367,328512,140099,2673,156539,10375,917,598443,1577,123,230739,97773,55.025586196055606,113.2162019173506
364,Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,348549,279340,82397,359172,183396,7897,158414,9388,3277,818921,436,178,292379,66793,63.057145095235136,111.93931370337104
365,Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,300401,224447,111014,335326,166585,4571,254920,4333,1681,638625,744,240,272699,62627,58.19384940170485,111.57659158194026
366,Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,711052,555739,89123,660267,352929,24274,783306,40043,5683,1059944,1914,245,549661,110606,66.82493830729351,112.24388802056508
367,Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,278534,224197,21520,233676,129123,6600,304481,14492,2094,361045,653,118,186910,46766,73.43137211941685,109.27517714020212
368,Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,570413,431664,91799,568758,305557,10736,389410,179116,2406,1077438,3222,268,485129,83629,60.54227695177955,112.9820881694418
369,Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,926268,600405,145523,1053722,393498,13499,2201663,314159,10605,6799,45614,417,686149,367573,59.10345591184382,105.17233573239014
370,Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1359829,822647,216772,1708542,485723,9750,3039279,547335,2696,64532,13221,4384,994171,714371,59.40037216477477,111.74956905817528
371,Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,513854,315489,199370,916574,120603,2324,1701234,48834,22250,427,22613,138,482236,434338,46.13907765572453,102.02566843236889
372,Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,432607,260700,185037,552583,161310,1363,1133349,79984,1432,3066,2795,84,329754,222829,56.70040196114512,107.66546084475468
373,Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,783461,404861,132696,1202482,126494,2766,2244882,321192,1157,450,34010,157,696240,506242,45.63884949060029,110.87631374981879
374,Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,943910,536959,238894,1071154,288723,4179,2143046,371286,1576,23456,5758,899,647198,423956,58.108341423179944,113.66522013253561
375,Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,777582,478544,163052,1148165,373644,6207,2224839,142427,1978,1468,35149,183,674589,473576,52.15337366510513,102.77398220387998
376,Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,782399,496402,103833,986208,220793,7607,2073356,235741,1901,20072,30850,285,640572,345636,54.09623860534354,110.4764694569491
377,Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,371705,213339,111388,526091,136969,1392,1017688,66609,682,11059,13455,144,314806,211285,52.66368171564471,108.13383144791717
378,Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,514851,306974,123469,802755,268172,4941,1413163,97855,1274,1515,25843,252,456632,346123,53.215358295917085,102.89082422122873
379,Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,696729,452540,87983,902829,231696,2577,1777879,249736,958,402,7104,188,541404,361425,56.34922852966859,106.41078189375376
380,Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,596935,341116,76277,684495,195277,1719,1582335,45488,439,296,3737,94,398151,286344,57.39389589753849,110.45103023092315
381,Rajasthan,Dhaulpur,26.72397054945053,77.74476219780222,106,1206516,653647,552869,683098,435721,247377,74342,523212,96086,1330,1127520,72258,688,1356,2739,92,339110,184102,56.617400846735556,118.22818787090613
382,Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,124,1388552,696532,692020,681591,415820,265771,184330,641515,141275,1477,1340065,28662,830,240,16141,226,346624,294891,49.086458411352254,100.65200427733303
383,Rajasthan,Ganganagar,29.256785412667963,73.56192303262948,99,1969168,1043340,925828,1193343,710908,482435,230438,912672,283142,6295,1437144,50688,2077,474853,1988,938,596320,316352,60.6013808877658,112.69263837343438
384,Rajasthan,Hanumangarh,29.1813351791531,74.74632573289902,100,1774692,931184,843508,1034136,624281,409855,166833,835260,243163,3360,1433067,118673,1542,216997,1935,241,512802,322458,58.271294399253506,110.3942108432878
385,Rajasthan,Jaipur,27.033459290187885,75.77117286012533,110,6626178,3468507,3157671,4300965,2554793,1746172,131523,2464893,990085,76565,5819980,687452,12708,18782,81079,1020,1714947,749946,64.90868491610095,109.84383743588234
386,Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,114,669919,361708,308211,308653,210415,98238,43872,288903,43141,754,497045,168129,874,1723,1521,98,182565,106338,46.07318198170226,117.3572649905422
387,Rajasthan,Jalor,25.07578093797277,72.18647261724662,116,1828730,936634,892096,829582,543923,285659,158013,896644,161845,1585,1732852,78990,730,231,14640,144,494906,401738,45.36383173021715,104.99251201664394
388,Rajasthan,Jhalawar,24.24725541474657,76.11242891705065,129,1411129,725143,685986,739792,466815,272977,209772,685950,220428,1750,1299751,96164,842,819,12488,46,402825,283125,52.42554011716859,105.70813398524169
389,Rajasthan,Jhunjhunun,28.13517401247401,75.52840893970894,103,2137045,1095896,1041149,1370360,815834,554526,68878,894649,297559,4828,1905682,228178,1004,275,548,56,541392,353257,64.12405915645202,105.25832517728011
390,Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,113,3687165,1923928,1763237,2031532,1265753,765779,242017,1489741,408808,19335,3224399,411558,6035,4123,36697,514,965103,524638,55.09739867893083,109.11340903123063
391,Rajasthan,Karauli,26.51901555555556,76.96081818181815,107,1458248,783639,674609,805849,531904,273945,115367,628726,132079,1059,1370977,81553,602,297,3424,70,371058,257668,55.26145072717398,116.16195455441596
392,Rajasthan,Kota,25.175718080000014,76.18618928000001,127,1951014,1021161,929853,1298345,765396,532949,134992,748811,339899,12843,1661307,243993,5665,11058,25742,280,534650,214161,66.5471903328218,109.81961664908324
393,Rajasthan,Nagaur,27.07862016048146,74.14215667001012,112,3307743,1696325,1611418,1758624,1102750,655874,263401,1425882,347344,4449,2833443,454487,1912,366,12940,163,857031,568851,53.16688751211929,105.26908598513856
394,Rajasthan,Pali,25.80490393541874,73.55285640766907,118,2037573,1025422,1012151,1085693,667381,418312,237280,842327,326793,4043,1870543,143476,1345,1540,18974,141,523077,319250,53.28363695435697,101.31116799766042
395,Rajasthan,Rajsamand,25.24894767441859,73.96570215946844,123,1156597,581339,575258,619139,383334,235805,106587,550831,193276,1989,1105676,33677,759,260,14966,100,319534,231297,53.53109164211908,101.05709090529815
396,Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,108,1335551,704031,631520,741748,486184,255564,88804,578068,140947,1887,1165505,155681,945,812,9991,177,343802,234266,55.53872521528568,111.48197998479858
397,Rajasthan,Sikar,27.64644058641976,75.29317422839503,111,2677333,1374990,1302343,1652117,995275,656842,87889,1006504,339457,5647,2342076,327583,1122,356,4050,177,657854,348650,61.7075649536311,105.57817717759454
398,Rajasthan,Sirohi,24.7976905263158,72.75309131578943,117,1036346,534231,502115,476806,309900,166906,97823,419829,134089,2146,996562,30479,1284,572,6829,114,272196,147633,46.008379440843115,106.39614430957052
399,Rajasthan,Tonk,26.153935071707927,75.79192216427637,120,1421326,728136,693190,749659,478329,271330,113426,649161,158264,1908,1243527,153146,754,378,22458,122,371848,277313,52.743635168849366,105.04133065970369
400,Rajasthan,Udaipur,24.44076752136749,73.84029839743584,130,3068420,1566801,1501619,1582629,973444,609185,302968,1365783,357846,14211,2869976,104307,7406,4278,78647,209,835839,529944,51.57797824287418,104.3407815164832
401,Sikkim,East,27.29600352941175,88.74908392156858,93,1709346,907500,801846,1352998,748382,604616,3094,579692,352758,80037,1410852,178807,15792,53027,46927,2643,486951,92741,79.15296259505097,113.17634558256822
402,Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,616,754894,374703,380191,480604,269582,211022,166837,359851,177502,1749,708397,7942,37403,104,65,88,212547,147304,63.66509735141622,98.5565150148215
403,Tamil Nadu,Chennai,13.058098905608748,80.28139151846806,603,4646732,2335844,2310888,3776276,1968079,1808197,13674,1817297,1096334,217368,3751322,439270,358662,2851,51708,2804,1369302,447995,81.267350903818,101.0799311779714
404,Tamil Nadu,Coimbatore,10.871376995940452,77.07619012178621,632,3458045,1729297,1728748,2635907,1394790,1241117,230026,1567950,896325,63273,3044145,211035,190314,1112,3284,435,1083125,484825,76.22535276435094,100.03175708663147
405,Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,617,2605914,1311697,1294217,1815281,1000322,814959,539412,1169880,598412,15396,2391675,123749,83334,401,1280,236,749633,420247,69.66005017817164,101.3506235816714
406,Tamil Nadu,Dharmapuri,12.300141200000006,78.11509813333339,630,1506843,774303,732540,917709,527599,390110,267345,751170,337972,3651,1452956,38304,14089,164,37,39,446057,305113,60.902761601573616,105.701122123024
407,Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,816180,665654,467959,1105155,500057,9155,1879494,105012,169945,313,71,256,665469,439686,68.61057286059891,100.1947467504359
408,Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,828300,664362,370212,1195773,595211,18604,2115455,76098,55899,435,639,148,732083,463690,66.28915187516876,100.71237819509464
409,Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,1611461,1401921,272514,1673814,961161,100322,3537399,173785,256762,1620,4962,990,1181308,492506,75.36748559120335,101.3934460085005
